1 1 1 45.46 1.253
1 1 2 30.03 1.307
1 1 3 35.94 1.255
1 1 4 28.06 1.217
1 1 5 29.71 1.259
1 2 1 45.07 1.277
1 2 2 29.92 1.309
1 2 3 40.37 1.283
1 2 4 32.57 1.276
1 2 5 31.04 1.290
1 3 1 46.41 1.245
1 3 2 51.42 1.322
1 3 3 34.62 1.337
1 3 4 34.40 1.326
1 3 5 49.62 1.267
1 4 1 31.74 1.350
1 4 2 33.17 1.339
1 4 3 35.66 1.292
1 4 4 39.58 1.348
1 4 5 41.15 1.302
1 5 1 39.64 1.189
1 5 2 39.85 1.336
1 5 3 31.84 1.360
1 5 4 23.09 1.237
1 5 5 38.50 1.204
1 6 1 22.03 1.166
1 6 2 48.27 1.363
1 6 3 13.15 1.538
1 6 4 9.91 1.499
1 6 5 44.62 1.112
1 7 1 22.98 1.190
1 7 2 43.34 1.203
1 7 3 6.00 1.124
1 7 4 10.62 1.179
1 7 5 10.19 1.289
2 1 1 34.47 1.161
2 1 2 36.77 1.280
2 1 3 5.24 1.170
2 1 4 10.59 1.174
2 1 5 40.76 1.240
2 2 1 34.47 1.165
2 2 2 36.58 1.292
2 2 3 8.76 1.176
2 2 4 12.74 1.182
2 2 5 46.14 1.256
2 3 1 27.79 1.181
2 3 2 40.29 1.294
2 3 3 6.87 1.199
2 3 4 14.37 1.184
2 3 5 35.43 1.260
2 4 1 27.55 1.182
2 4 2 44.28 1.310
2 4 3 9.92 1.272
2 4 4 15.19 1.215
2 4 5 44.07 1.180
2 5 1 35.36 1.161
2 5 2 32.24 1.194
2 5 3 17.81 1.359
2 5 4 18.93 1.206
2 5 5 43.11 1.228
2 6 1 28.45 1.151
2 6 2 25.11 1.291
2 6 3 18.25 1.366
2 6 4 13.66 1.112
2 6 5 33.51 1.296
2 7 1 16.12 1.069
2 7 2 15.39 1.276
2 7 3 20.17 1.253
2 7 4 8.80 1.273
2 7 5 47.03 1.121
3 1 1 20.08 1.162
3 1 2 32.06 1.126
3 1 3 11.55 1.214
3 1 4 3.21 1.108
3 1 5 24.37 1.245
3 2 1 24.92 1.171
3 2 2 30.85 1.140
3 2 3 10.17 1.233
3 2 4 3.69 1.114
3 2 5 22.91 1.251
3 3 1 24.39 1.174
3 3 2 19.78 1.136
3 3 3 13.72 1.256
3 3 4 5.15 1.129
3 3 5 30.63 1.253
3 4 1 29.48 1.196
3 4 2 20.78 1.110
3 4 3 14.94 1.285
3 4 4 5.18 1.170
3 4 5 32.34 1.257
3 5 1 34.68 1.189
3 5 2 36.76 1.110
3 5 3 16.16 1.264
3 5 4 6.01 1.195
3 5 5 14.46 1.307
3 6 1 30.82 1.201
3 6 2 14.05 1.083
3 6 3 17.61 1.239
3 6 4 5.21 1.200
3 6 5 12.23 1.213
3 7 1 28.03 1.198
3 7 2 9.61 1.225
3 7 3 19.03 1.299
3 7 4 5.91 1.278
3 7 5 12.73 1.239
4 1 1 26.02 0.979
4 1 2 18.64 0.984
4 1 3 2.00 1.453
4 1 4 3.61 1.098
4 1 5 22.35 1.161
4 2 1 27.96 0.995
4 2 2 16.57 0.992
4 2 3 6.91 1.469
4 2 4 -6.67 1.116
4 2 5 21.95 1.168
4 3 1 26.34 0.997
4 3 2 15.34 1.006
4 3 3 8.62 1.529
4 3 4 4.90 1.143
4 3 5 24.83 1.155
4 4 1 28.59 1.002
4 4 2 12.73 1.002
4 4 3 16.03 1.567
4 4 4 6.07 1.165
4 4 5 28.97 1.155
4 5 1 24.31 0.981
4 5 2 12.57 1.022
4 5 3 13.91 1.597
4 5 4 5.45 1.241
4 5 5 19.46 1.154
4 6 1 20.41 0.958
4 6 2 5.50 0.921
4 6 3 27.21 2.161
4 6 4 7.97 1.256
4 6 5 16.28 1.210
4 7 1 22.25 0.879
4 7 2 2.66 0.964
4 7 3 44.44 2.179
4 7 4 7.43 1.263
4 7 5 43.88 1.147
5 1 1 28.92 0.940
5 1 2 13.00 0.905
